#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
#UniverseMachine Version: 1.0
#Columns:
#ID: Unique halo ID
#DescID: ID of descendant halo (or -1 at z=0).
#UPID: -1 for central halos, otherwise, ID of largest parent halo
#Flags: Ignore
#Uparent_Dist: Ignore
#X Y Z: halo position (comoving Mpc/h)
#VX VY VZ: halo velocity (physical peculiar km/s)
#M: Halo mass (Bryan & Norman 1998 virial mass, Msun)
#V: Halo vmax (physical km/s)
#MP: Halo peak historical mass (BN98 vir, Msun)
#VMP: Halo vmax at the time when peak mass was reached.
#R: Halo radius (BN98 vir, comoving kpc/h)
#Rank1: halo rank in Delta_vmax (see UniverseMachine paper)
#Rank2, RA, RARank: Ignore
#SM: True stellar mass (Msun)
#ICL: True intracluster stellar mass (Msun)
#SFR: True star formation rate (Msun/yr)
#Obs_SM: observed stellar mass, including random & systematic errors (Msun)
#Obs_SFR: observed SFR, including random & systematic errors (Msun/yr)
#SSFR: observed SSFR
#SMHM: SM/HM ratio
#Obs_UV: Observed UV Magnitude (M_1500 AB)
#h = 0.680000
#Omega_Matter = 0.307115
#Omega_Lambda = 0.692885
#Box size: 250.000000 Mpc/h
#Note: all halo masses converted to be in Msun, not Msun/h.
#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
3221 9386 -1 131 2.000000 51.312328 213.423935 197.334366 -124.040001 -21.469999 -64.040001 6.837e+08 61.580002 6.837e+08 61.580002 19.424000 -0.818211 -5.612001 0.156544 0.156544 1.387e+01 0.000e+00 7.706e-08 1.545e+01 7.320e-08 4.737e-09 2.029e-08 -0.509
3259 9501 -1 131 2.000000 47.422661 232.880341 163.079056 -1.250000 -11.440000 8.830000 1.367e+09 57.040001 1.367e+09 57.040001 24.473000 -1.475532 -5.612001 -0.703614 -0.703614 5.412e+01 0.000e+00 3.006e-07 6.028e+01 2.855e-07 4.737e-09 3.958e-08 -1.987
3269 9496 -1 131 2.000000 50.425270 238.909317 163.622177 24.770000 -96.529999 26.670000 9.116e+08 51.259998 9.116e+08 51.259998 21.379000 -0.709749 0.005888 -0.103951 -0.103951 1.821e+03 0.000e+00 1.011e-05 1.872e+02 9.606e-06 5.130e-08 1.997e-06 -5.804
881 9575 -1 131 2.000000 71.447006 4.202790 116.277603 -15.470000 90.900002 -69.790001 2.735e+09 70.830002 2.735e+09 70.830002 30.834000 0.186539 -5.612001 -0.428775 -0.428775 2.795e-01 0.000e+00 1.553e-09 3.113e-01 1.475e-09 4.737e-09 1.022e-10 3.731
601 9805 -1 131 2.000000 82.525978 61.219341 62.680489 -142.949997 9.310000 43.820000 2.279e+09 65.110001 2.279e+09 65.110001 29.016001 -0.260240 -5.612001 0.653748 0.653748 4.856e+00 0.000e+00 2.697e-08 5.409e+00 2.562e-08 4.737e-09 2.130e-09 0.631
1372 9832 -1 131 2.000000 85.611229 61.818588 150.293762 -136.460007 -63.849998 -49.840000 6.837e+08 44.869999 6.837e+08 44.869999 19.424000 -0.096563 -5.612001 1.463739 1.463739 2.195e+05 0.000e+00 1.219e-03 2.257e+04 1.158e-03 5.130e-08 3.210e-04 -11.003
688 9808 -1 131 2.000000 79.990021 77.273941 72.313942 -203.149994 -149.410004 -3.790000 1.139e+09 82.449997 1.139e+09 82.449997 23.030001 -0.279527 -5.612001 -0.054669 -0.054669 4.885e-03 0.000e+00 2.713e-11 5.441e-03 2.577e-11 4.737e-09 4.287e-12 8.124
1940 8976 -1 131 2.000000 59.353291 141.519638 16.498819 -53.900002 -18.520000 168.820007 6.837e+08 52.099998 6.837e+08 52.099998 19.424000 -0.766383 -5.612001 -0.105362 -0.105362 1.148e+03 0.000e+00 6.376e-06 1.279e+03 6.056e-06 4.737e-09 1.679e-06 -5.303
2837 9974 -1 131 2.000000 75.395538 133.993912 128.183640 42.889999 -47.230000 19.410000 4.557e+08 55.779999 4.557e+08 55.779999 16.968000 -1.414137 -5.612001 1.057948 1.057948 3.060e+02 0.000e+00 1.700e-06 3.147e+01 1.615e-06 5.130e-08 6.715e-07 -3.868
2207 10111 -1 131 2.000000 78.112381 193.316345 42.767200 -99.660004 40.369999 -77.239998 6.837e+08 51.840000 6.837e+08 51.840000 19.424000 -0.748295 -5.612001 -2.084196 -2.084196 3.825e+02 0.000e+00 2.124e-06 4.260e+02 2.018e-06 4.737e-09 5.594e-07 -4.110
3107 10156 -1 131 2.000000 63.320610 183.321945 166.167862 -85.580002 150.449997 113.639999 1.139e+09 69.230003 1.139e+09 69.230003 23.030001 0.277866 -5.612001 -0.704348 -0.704348 4.504e-01 0.000e+00 2.502e-09 4.632e-02 2.376e-09 5.130e-08 3.953e-10 3.213
144 10332 -1 131 2.000000 90.043823 16.540819 17.764170 157.699997 109.860001 14.970000 2.507e+09 67.570000 2.507e+09 67.570000 29.952000 0.277973 -5.612001 -0.002499 -0.002499 1.360e+00 0.000e+00 7.555e-09 1.515e+00 7.177e-09 4.737e-09 5.425e-10 2.012
183 10304 -1 131 2.000000 94.428993 15.383620 5.761320 131.380005 128.369995 2.800000 2.279e+09 64.860001 2.279e+09 64.860001 29.016001 -0.351606 -5.612001 -0.656165 -0.656165 2.306e+00 0.000e+00 1.281e-08 2.371e-01 1.217e-08 5.130e-08 1.012e-09 1.439
1044 9886 -1 131 2.000000 79.443466 104.676323 129.310486 36.770000 65.449997 25.950001 4.557e+08 49.389999 4.557e+08 49.389999 16.968000 -0.512015 -5.612001 -3.284809 -3.284809 7.384e+02 0.000e+00 4.101e-06 8.224e+02 3.896e-06 4.737e-09 1.620e-06 -4.824
3064 10936 -1 131 2.000000 107.287727 132.443634 155.220428 -67.180000 -121.580002 -15.920000 4.557e+08 46.849998 4.557e+08 46.849998 16.968000 -0.269375 -5.612001 -1.272406 -1.272406 1.163e+04 0.000e+00 6.462e-05 1.296e+04 6.139e-05 4.737e-09 2.553e-05 -7.817
2924 11003 -1 131 2.000000 96.715912 156.396576 114.830338 -56.099998 68.360001 -109.419998 9.116e+08 48.549999 9.116e+08 48.549999 21.379000 -0.421503 -5.612001 -1.708350 -1.708350 3.200e+03 0.000e+00 1.778e-05 3.565e+03 1.689e-05 4.737e-09 3.511e-06 -6.416
